t, v
-0.004624, 1.742383
-0.004633, 1.650000
-0.004643, 1.626904
-0.004653, 1.603809
-0.004663, 1.557617
-0.004673, 1.511426
-0.004682, 1.465234
-0.004692, 1.442139
-0.004702, 1.419043
-0.004712, 1.303564
-0.004721, 1.257373
-0.004731, 1.211182
-0.004741, 1.118799
-0.004751, 1.095703
-0.004761, 1.049512
-0.004770, 1.003320
-0.004780, 0.980225
-0.004790, 0.934033
-0.004800, 0.864746
-0.004809, 0.818555
-0.004819, 0.795459
-0.004829, 0.726172
-0.004839, 0.703076
-0.004848, 0.656885
-0.004858, 0.564502
-0.004868, 0.495215
-0.004878, 0.472119
-0.004888, 0.425928
-0.004897, 0.402832
-0.004907, 0.356641
-0.004917, 0.287354
-0.004927, 0.264258
-0.004936, 0.264258
-0.004946, 0.241162
-0.004956, 0.194971
-0.004966, 0.171875
-0.004976, 0.148779
-0.004985, 0.102588
-0.004995, 0.102588
-0.005005, 0.079492
-0.005015, 0.079492
-0.005024, 0.079492
-0.005034, 0.056396
-0.005044, 0.056396
-0.005054, 0.056396
-0.005064, 0.056396
-0.005073, 0.079492
-0.005083, 0.079492
-0.005093, 0.102588
-0.005103, 0.102588
-0.005112, 0.125684
-0.005122, 0.125684
-0.005132, 0.171875
-0.005142, 0.194971
-0.005152, 0.241162
-0.005161, 0.264258
-0.005171, 0.287354
-0.005181, 0.310449
-0.005191, 0.379736
-0.005200, 0.379736
-0.005210, 0.472119
-0.005220, 0.495215
-0.005230, 0.518311
-0.005239, 0.587598
-0.005249, 0.610693
-0.005259, 0.656885
-0.005269, 0.772363
-0.005279, 0.795459
-0.005288, 0.864746
-0.005298, 0.887842
-0.005308, 0.957129
-0.005318, 1.003320
-0.005327, 1.049512
-0.005337, 1.118799
-0.005347, 1.188086
-0.005357, 1.234277
-0.005367, 1.303564
-0.005376, 1.326660
-0.005386, 1.372852
-0.005396, 1.395947
-0.005406, 1.442139
-0.005415, 1.511426
-0.005425, 1.557617
-0.005435, 1.626904
-0.005445, 1.626904
-0.005455, 1.696191
-0.005464, 1.719287
-0.005474, 1.742383
-0.005484, 1.765479
-0.005494, 1.834766
-0.005503, 1.834766
-0.005513, 1.880957
-0.005523, 1.904053
-0.005533, 1.927148
-0.005543, 1.927148
-0.005552, 1.927148
-0.005562, 1.950244
-0.005572, 1.973340
-0.005582, 1.973340
-0.005591, 1.973340
-0.005601, 1.973340
-0.005611, 1.996436
-0.005621, 1.973340
-0.005630, 1.973340
-0.005640, 1.950244
-0.005650, 1.973340
-0.005660, 1.904053
-0.005670, 1.880957
-0.005679, 1.880957
-0.005689, 1.834766
-0.005699, 1.811670
-0.005709, 1.765479
-0.005718, 1.742383
-0.005728, 1.696191
-0.005738, 1.673096
-0.005748, 1.626904
-0.005758, 1.603809
-0.005767, 1.511426
-0.005777, 1.465234
-0.005787, 1.442139
-0.005797, 1.395947
-0.005806, 1.349756
-0.005816, 1.303564
-0.005826, 1.257373
-0.005836, 1.211182
-0.005846, 1.118799
-0.005855, 0.980225
-0.005865, 1.026416
-0.005875, 1.003320
-0.005885, 0.980225
-0.005894, 0.934033
-0.005904, 0.887842
-0.005914, 0.795459
-0.005924, 0.749268
-0.005934, 0.679980
-0.005943, 0.633789
-0.005953, 0.610693
-0.005963, 0.564502
-0.005973, 0.472119
-0.005982, 0.495215
-0.005992, 0.402832
-0.006002, 0.356641
-0.006012, 0.333545
-0.006022, 0.310449
-0.006031, 0.287354
-0.006041, 0.264258
-0.006051, 0.171875
-0.006061, 0.171875
-0.006070, 0.148779
-0.006080, 0.125684
-0.006090, 0.102588
-0.006100, 0.102588
-0.006109, 0.079492
-0.006119, 0.079492
-0.006129, 0.056396
-0.006139, 0.056396
-0.006149, 0.079492
-0.006158, 0.079492
-0.006168, 0.056396
-0.006178, 0.079492
-0.006188, 0.056396
-0.006197, 0.079492
-0.006207, 0.125684
-0.006217, 0.148779
-0.006227, 0.148779
-0.006237, 0.171875
-0.006246, 0.218066
-0.006256, 0.218066
-0.006266, 0.264258
-0.006276, 0.333545
-0.006285, 0.356641
-0.006295, 0.379736
-0.006305, 0.425928
-0.006315, 0.449023
-0.006325, 0.495215
-0.006334, 0.541406
-0.006344, 0.633789
-0.006354, 0.679980
-0.006364, 0.703076
-0.006373, 0.772363
-0.006383, 0.818555
-0.006393, 0.864746
-0.006403, 0.957129
-0.006413, 0.934033
-0.006422, 1.049512
-0.006432, 1.072607
-0.006442, 1.118799
-0.006452, 1.164990
-0.006461, 1.234277
-0.006471, 1.280469
-0.006481, 1.372852
-0.006491, 1.395947
-0.006500, 1.442139
-0.006510, 1.488330
-0.006520, 1.511426
-0.006530, 1.557617
-0.006540, 1.603809
-0.006549, 1.673096
-0.006559, 1.719287
-0.006569, 1.742383
-0.006579, 1.765479
-0.006588, 1.788574
-0.006598, 1.834766
-0.006608, 1.857861
-0.006618, 1.880957
-0.006628, 1.904053
-0.006637, 1.927148
-0.006647, 1.950244
-0.006657, 1.950244
-0.006667, 1.950244
-0.006676, 1.973340
-0.006686, 1.973340
-0.006696, 1.973340
-0.006706, 1.973340
-0.006716, 1.973340
-0.006725, 1.950244
-0.006735, 1.950244
-0.006745, 1.950244
-0.006755, 1.904053
-0.006764, 1.904053
-0.006774, 1.880957
-0.006784, 1.834766
-0.006794, 1.811670
-0.006804, 1.788574
-0.006813, 1.765479
-0.006823, 1.742383
-0.006833, 1.673096
-0.006843, 1.650000
-0.006852, 1.603809
-0.006862, 1.557617
-0.006872, 1.511426
